Country;Pet dogs;Pet cats;Pet birds;Pet aquaria;Pet small mammals;Pet terraria;Exotic Pet Ban
United States;69,929,000;74,059,000;8,300,000;0;0;0;No
China;27,400,000;53,100,000;0;0;0;0;Yes
United Kingdom;13,000,000;12,000,000;1,600,000;8,000,000;0;2,200,000;Yes
Japan;12,000,000;7,300,000;0;0;0;0;Yes
Philippines;11,600,000;0;0;0;0;0;No
Germany;10,600,000;15,200,000;4,900,000;2,300,000;4,900,000;1,300,000;Yes
India;10,200,000;0;0;0;0;0;No
Spain;9,313,000;5,859,000;6,991,000;691;1,523,000;1,464,000;No
Argentina;9,200,000;3,000,000;0;0;0;0;No
Italy;8,755,000;10,228,000;12,882,000;1,500,000;1,816,000;1,366,000;No
Poland;8,019,000;7,125,000;1,144,000;380;1,217,000;215;Yes
France;7,600,000;14,900,000;5,800,000;1,252,000;2,800,000;2,100,000;Yes
South Africa;7,400,000;2,000,000;0;0;0;0;No
Ethiopia;5,000,000;0;0;0;0;0;No
Ukraine;4,984,000;7,630,000;784;450;899;903;No
Australia;3,700,000;2,200,000;7,800,000;0;0;0;Yes
Portugal;2,605,000;1,795,000;641;83;218;39;No
Czech Republic;2,211,000;1,364,000;69;80;0;5;Yes
Hungary;2,172,000;2,388,000;412;90;398;60;Yes
Belgium;2,029,000;2,536,000;331;320;1,026,000;160;Yes
Netherlands;1,500,000;1,900,000;230;339;346;59;Yes
Turkey;1,386,000;4,660,000;11,291,000;850;808;157;Yes
Sweden;1,044,000;1,703,000;309;260;494;60;Yes
Finland;781;982;56;40;157;29;Yes
Austria;766;0;195;310;0;129;Yes
Bulgaria;750;815;45;70;60;14;Yes
Greece;657;608;974;90;417;6;No
Denmark;617;669;202;280;373;110;Yes
Switzerland;554;1,793,000;304;380;655;27;Yes
Lithuania;550;605;0;0;0;0;No
Norway;494;783;195;125;169;94;Yes
Slovenia;295;455;40;35;85;3,5;Yes
Latvia;270;410;0;0;0;0;No
Estonia;235;290;0;0;0;0;Yes
Brazil;0;0;191,001,000;0;0;0;Yes
Russia;0;23,150,000;3,280,000;3,750,000;6,601,000;1,076,000;Yes
Romania;0;4,371,000;292;150;93;32;Yes
Slovakia;0;540;32;51;46;4;Yes
Ireland;0;355;92;27;162;20;Yes
